Make,Injury_Rate,Fatality_Rate,Survival_Rate,Destroyed_Rate,Minor_Rate,Substantial_Rate,Safety_Score
Cirrus design corp,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,0.0,1.0,53.333333333333336
Vans,1.0,0.0,0.0,0.0,0.0,1.0,60.0
Cirrus,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.4,0.0,0.6,66.44444444444444
Aero commander,0.23076923076923078,0.1346153846153846,0.6346153846153846,0.4,0.0,0.6,68.34615384615384
Mooney,0.19913419913419914,0.19480519480519481,0.606060606060606,0.23478260869565218,0.017391304347826087,0.7478260869565218,70.11180124223601
Beech,0.13924050632911392,0.22784810126582278,0.6329113924050633,0.24162679425837322,0.04066985645933014,0.7177033492822966,70.8179395554479
Grumman,0.2644230769230769,0.10096153846153846,0.6346153846153847,0.3188405797101449,0.014492753623188406,0.6666666666666666,71.07720178372352
Aeronca,0.37373737373737376,0.09090909090909091,0.5353535353535354,0.11864406779661017,0.05084745762711865,0.8305084745762712,73.3949666153056
Bellanca,0.19375,0.15,0.65625,0.18867924528301888,0.018867924528301886,0.7924528301886793,73.47995283018868
Luscombe,0.32857142857142857,0.05714285714285714,0.6142857142857143,0.1875,0.0,0.8125,73.53571428571429
Champion,0.23333333333333334,0.1,0.6666666666666666,0.21052631578947367,0.0,0.7894736842105263,73.78947368421053
Piper,0.18003207698476342,0.13953488372093023,0.6804330392943063,0.19502407704654895,0.02086677367576244,0.7841091492776886,74.34781517375247
Stinson,0.28125,0.09375,0.625,0.12121212121212122,0.0,0.8787878787878788,74.45075757575758
Cessna,0.17842931937172773,0.13863874345549737,0.6829319371727749,0.1687424668541583,0.009642426677380474,0.8216151064684613,74.62960670931155
Taylorcraft,0.296875,0.046875,0.65625,0.10526315789473684,0.02631578947368421,0.868421052631579,77.4342105263158
Maule,0.10185185185185185,0.12962962962962962,0.7685185185185185,0.09836065573770492,0.01639344262295082,0.8852459016393442,78.98755312689738
Air tractor,0.16666666666666666,0.05,0.7833333333333333,0.11864406779661017,0.0,0.8813559322033898,80.12711864406779
North american,0.058823529411764705,0.08823529411764706,0.8529411764705882,0.21052631578947367,0.05263157894736842,0.7368421052631579,81.19195046439629
Boeing,0.02142857142857143,0.05512820512820513,0.9234432234432234,0.09210526315789473,0.32894736842105265,0.5789473684210527,94.62704839020628
